result_id,user_id,quiz_id,quiz_category,q_answer_1,q_answer_2,q_answer_3,q_answer_4,q_answer_5,q_answer_6,q_answer_7,q_answer_8,q_answer_9,q_answer_10,q_answer_11,q_answer_12,q_answer_13,q_answer_14,q_answer_15,q_answer_16,q_answer_17,q_answer_18,q_answer_19,q_answer_20
2,4,6,Chemistry,1,2,1,1,2,1,2,3,1,3,1,,,,,,,,,
3,4,0,Random,,,,,,,,,,,,,,,,,,,,
4,4,1,Geography,3,4,3,3,1,3,1,4,1,,,,,,,,,,,
5,5,4,History,2,1,1,2,1,1,3,1,1,1,2,,,,,,,,,
6,4,2,Science,3,3,1,3,2,3,3,1,4,1,2,3,2,3,2,1,1,4,1,3
7,4,4,History,2,1,2,1,1,1,3,1,1,1,2,3,1,1,1,2,1,1,1,3
8,4,3,Music,2,3,1,2,1,2,1,2,3,2,1,1,2,1,1,2,3,3,1,4
